conceptId,conceptName,vocabularyId,domainId,standardConcept,conceptInSet,rc,dc,drc,dbc
321887,Disorder of artery,SNOMED,Condition,S,Not included - parent,5737069,20,802128018,22
4114166,Systemic arterial finding,SNOMED,Condition,S,Not included - parent,2687,2,718549736,22
321052,Peripheral vascular disease,SNOMED,Condition,S,Not included - descendant,115093764,22,155613237,22
4187240,Disorder of aorta,SNOMED,Condition,S,Not included - descendant,106524,10,70325319,22
4102928,Obstruction of precerebral artery,SNOMED,Condition,S,Not included - descendant,1829,2,62248807,18
4153380,Disorder of carotid artery,SNOMED,Condition,S,Not included - descendant,6498530,17,62189519,22
4288310,Carotid artery obstruction,SNOMED,Condition,S,Not included - descendant,52200994,14,53046493,17
43021868,Aneurysm of peripheral artery,SNOMED,Condition,S,Not included - descendant,100,1,41899934,22
4132130,Dilatation of aorta,SNOMED,Condition,S,Not included - descendant,751167,15,41283193,22
321822,Peripheral vascular disorder due to diabetes mellitus,SNOMED,Condition,S,Not included - descendant,716547,20,40334564,21
317585,Aortic aneurysm,SNOMED,Condition,S,Not included - descendant,3585575,22,36824849,22
443729,Peripheral circulatory disorder due to type 2 diabetes mellitus,SNOMED,Condition,S,Not included - descendant,35298934,19,35370087,19
40491455,Abnormality of abdominal aorta,SNOMED,Condition,S,Not included - descendant,1886,2,26251168,22
40486130,Dilatation of descending aorta,SNOMED,Condition,S,Not included - descendant,573470,14,25387806,22
37016191,Abdominal aortic ectasia,SNOMED,Condition,S,Not included - descendant,481549,14,24809987,22
4140448,Aneurysm of descending aorta,SNOMED,Condition,S,Not included - descendant,2618,3,24332787,22
198177,Abdominal aortic aneurysm,SNOMED,Condition,S,Not included - descendant,460274,10,24328438,22
321314,Abdominal aortic aneurysm without rupture,SNOMED,Condition,S,Not included - descendant,22725609,16,22725609,16
317309,Peripheral arterial occlusive disease,SNOMED,Condition,S,Not included - descendant,3931867,17,18319240,22
762752,Arteriosclerosis of aorta,SNOMED,Condition,S,Not included - descendant,186,1,17866125,20
312934,Atherosclerosis of aorta,SNOMED,Condition,S,Not included - descendant,17842544,20,17865739,20
4209843,Disorder of thoracic aorta,SNOMED,Condition,S,Not included - descendant,2006,3,17451603,22
36717267,Ectasia of thoracic aorta,SNOMED,Condition,S,Not included - descendant,2554737,14,12027076,21
4278243,Cerebral arteriosclerosis,SNOMED,Condition,S,Not included - descendant,8584,3,9790294,20
316437,Cerebral atherosclerosis,SNOMED,Condition,S,Not included - descendant,9781710,20,9781710,20
443622,Aneurysm of thoracic aorta,SNOMED,Condition,S,Not included - descendant,4265778,19,9394260,21
443239,Precerebral arterial occlusion,SNOMED,Condition,S,Not included - descendant,748907,14,9289802,18
314962,Raynaud's disease,SNOMED,Condition,S,Not included - descendant,7493562,22,7493562,22
439295,Multiple and bilateral precerebral arterial occlusion,SNOMED,Condition,S,Not included - descendant,7345676,14,7345676,14
314463,Congenital anomaly of aorta,SNOMED,Condition,S,Not included - descendant,434177,20,6279662,21
4141106,Thrombosis of arteries of the extremities,SNOMED,Condition,S,Not included - descendant,200,2,6160812,20
195834,Atherosclerosis of renal artery,SNOMED,Condition,S,Not included - descendant,5058964,20,5061198,20
