conceptId,isExcluded,includeDescendants,includeMapped,conceptName,vocabularyId,standardConcept,invalidReason,conceptCode,conceptClassId,domainId,rc,dbc,drc,ddbc
42485982,FALSE,TRUE,FALSE,"Type 1 diabetes mellitus, with hypoglycemia",KCD7,N,V,E10.63,KCD7 code,Condition,0,0,0,0
42485982,FALSE,TRUE,FALSE,"Type 1 diabetes mellitus, with hypoglycemia",KCD7,N,V,E10.63,KCD7 code,Condition,0,0,0,0
40485020,FALSE,TRUE,FALSE,Type 2 diabetes mellitus well controlled,SNOMED,S,V,444110003,Clinical Finding,Condition,0,0,0,0
40485020,FALSE,TRUE,FALSE,Type 2 diabetes mellitus well controlled,SNOMED,S,V,444110003,Clinical Finding,Condition,0,0,0,0
42485955,FALSE,TRUE,FALSE,"Type 1 diabetes mellitus, with lactic acidosis",KCD7,N,V,E10.11,KCD7 code,Condition,0,0,0,0
42485955,FALSE,TRUE,FALSE,"Type 1 diabetes mellitus, with lactic acidosis",KCD7,N,V,E10.11,KCD7 code,Condition,0,0,0,0
45804115,FALSE,TRUE,FALSE,"aesculus hippocastanum, arnica montana, arsenicum album, hamamelis virginiana, helonias dioica, hepa... 1[hp_X]/mL / 3[hp_X]/mL / 6[hp_X]/mL / 30[hp_C]/mL / 200[hp_C]/mL ORAL SPRAY [diabetes type ii]",SPL,C,V,fd5dd5ad-0103-4fb0-a732-3a4588af0cc1,OTC Drug,Drug,0,0,0,0
45804115,FALSE,TRUE,FALSE,"aesculus hippocastanum, arnica montana, arsenicum album, hamamelis virginiana, helonias dioica, hepa... 1[hp_X]/mL / 3[hp_X]/mL / 6[hp_X]/mL / 30[hp_C]/mL / 200[hp_C]/mL ORAL SPRAY [diabetes type ii]",SPL,C,V,fd5dd5ad-0103-4fb0-a732-3a4588af0cc1,OTC Drug,Drug,0,0,0,0
706358,FALSE,TRUE,FALSE,Diabetes type II action plan,LOINC,S,V,LP173766-9,Doc Kind,Meas Value,0,0,0,0
45451252,FALSE,TRUE,FALSE,Dietary advice for type II diabetes,Read,N,D,ZC2CA00,Read,Procedure,0,0,0,0
4341810,FALSE,TRUE,FALSE,"Diabetes Mellitus, Type 1",NDFRT,N,V,N0000000952,Ind / CI,Drug,0,0,0,0
4341810,FALSE,TRUE,FALSE,"Diabetes Mellitus, Type 1",NDFRT,N,V,N0000000952,Ind / CI,Drug,0,0,0,0
4341810,FALSE,TRUE,FALSE,"Diabetes Mellitus, Type 1",NDFRT,N,V,N0000000952,Ind / CI,Drug,0,0,0,0
4341810,FALSE,TRUE,FALSE,"Diabetes Mellitus, Type 1",NDFRT,N,V,N0000000952,Ind / CI,Drug,0,0,0,0
40353858,FALSE,TRUE,FALSE,[EDTA] Diabetes Type I (insulin dependent) associated with renal failure,SNOMED,N,D,274589008,Clinical Finding,Condition,0,0,0,0
201826,FALSE,TRUE,FALSE,Type 2 diabetes mellitus,SNOMED,S,V,44054006,Clinical Finding,Condition,951625645,21,1324830941,21
201826,FALSE,TRUE,FALSE,Type 2 diabetes mellitus,SNOMED,S,V,44054006,Clinical Finding,Condition,951625645,21,1324830941,21
443732,FALSE,TRUE,FALSE,Disorder due to type 2 diabetes mellitus,SNOMED,S,V,422014003,Clinical Finding,Condition,43015262,19,465693941,19
443732,FALSE,TRUE,FALSE,Disorder due to type 2 diabetes mellitus,SNOMED,S,V,422014003,Clinical Finding,Condition,43015262,19,465693941,19
42485988,FALSE,TRUE,FALSE,"Type 1 diabetes mellitus, with other and unspecified diabetic foot complications",KCD7,N,V,E10.72,KCD7 code,Condition,0,0,0,0
42485988,FALSE,TRUE,FALSE,"Type 1 diabetes mellitus, with other and unspecified diabetic foot complications",KCD7,N,V,E10.72,KCD7 code,Condition,0,0,0,0
42485987,FALSE,TRUE,FALSE,"Type 1 diabetes mellitus, with diabetic foot ulcer and gangrene",KCD7,N,V,E10.71,KCD7 code,Condition,0,0,0,0
42485987,FALSE,TRUE,FALSE,"Type 1 diabetes mellitus, with diabetic foot ulcer and gangrene",KCD7,N,V,E10.71,KCD7 code,Condition,0,0,0,0
43531018,FALSE,TRUE,FALSE,"Maturity-onset diabetes of the young, type 11",SNOMED,S,V,609578001,Clinical Finding,Condition,0,0,0,0
40484649,FALSE,TRUE,FALSE,Type 1 diabetes mellitus well controlled,SNOMED,S,V,444074000,Clinical Finding,Condition,0,0,0,0
40484649,FALSE,TRUE,FALSE,Type 1 diabetes mellitus well controlled,SNOMED,S,V,444074000,Clinical Finding,Condition,0,0,0,0
