conceptId,conceptName,domainId,vocabularyId,standardConcept,rc,dc,drc,dbc,sourceConceptId,sourceConceptName,sourceVocabularyId,sourceConceptCode,sourceRecordCount,sourceDatabaseCount
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,45576437,Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema,ICD10CM,E10.351,226686,12
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200167,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",ICD10CM,E10.3513,220002,12
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,45552381,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,ICD10CM,E10.311,212048,12
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200165,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",ICD10CM,E10.3511,122763,11
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200166,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",ICD10CM,E10.3512,119760,10
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,45561947,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,ICD10CM,E10.331,78454,11
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,45595793,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,ICD10CM,E10.321,69982,12
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200151,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",ICD10CM,E10.3313,64666,10
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,45595794,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,ICD10CM,E10.341,56978,11
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200143,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",ICD10CM,E10.3213,53958,11
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200159,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",ICD10CM,E10.3413,53914,10
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200149,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",ICD10CM,E10.3311,42082,10
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200150,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",ICD10CM,E10.3312,38108,10
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200168,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",ICD10CM,E10.3519,30564,10
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200157,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",ICD10CM,E10.3411,30207,10
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200141,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",ICD10CM,E10.3211,30158,10
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200158,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",ICD10CM,E10.3412,28307,9
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200142,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",ICD10CM,E10.3212,26370,10
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200144,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",ICD10CM,E10.3219,22930,11
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200152,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",ICD10CM,E10.3319,10214,9
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200160,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",ICD10CM,E10.3419,7230,9
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200196,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",ICD10CM,E10.37X3,5116,10
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200194,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",ICD10CM,E10.37X1,2856,9
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200195,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",ICD10CM,E10.37X2,2056,9
380097,Macular edema due to diabetes mellitus,Condition,SNOMED,S,8727283,14,13616831,14,37200197,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",ICD10CM,E10.37X9,1094,8
376114,Severe nonproliferative retinopathy due to diabetes mellitus,Condition,SNOMED,S,602109,14,1921293,14,45595794,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,ICD10CM,E10.341,56978,11
376114,Severe nonproliferative retinopathy due to diabetes mellitus,Condition,SNOMED,S,602109,14,1921293,14,37200159,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",ICD10CM,E10.3413,53914,10
376114,Severe nonproliferative retinopathy due to diabetes mellitus,Condition,SNOMED,S,602109,14,1921293,14,37200157,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",ICD10CM,E10.3411,30207,10
376114,Severe nonproliferative retinopathy due to diabetes mellitus,Condition,SNOMED,S,602109,14,1921293,14,37200158,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",ICD10CM,E10.3412,28307,9
376114,Severe nonproliferative retinopathy due to diabetes mellitus,Condition,SNOMED,S,602109,14,1921293,14,45537958,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,ICD10CM,E10.349,21320,11
376114,Severe nonproliferative retinopathy due to diabetes mellitus,Condition,SNOMED,S,602109,14,1921293,14,37200163,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",ICD10CM,E10.3493,20366,10
376114,Severe nonproliferative retinopathy due to diabetes mellitus,Condition,SNOMED,S,602109,14,1921293,14,37200161,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",ICD10CM,E10.3491,9966,10
376114,Severe nonproliferative retinopathy due to diabetes mellitus,Condition,SNOMED,S,602109,14,1921293,14,37200162,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",ICD10CM,E10.3492,9310,10
376114,Severe nonproliferative retinopathy due to diabetes mellitus,Condition,SNOMED,S,602109,14,1921293,14,37200160,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",ICD10CM,E10.3419,7230,9
