conceptId,conceptName,vocabularyId,domainId,standardConcept,conceptInSet,rc,dc,drc,dbc
4043371,Inflammatory disorder of digestive tract,SNOMED,Condition,S,Not included - recommended via source,14010263,17,946746910,22
201618,Disorder of intestine,SNOMED,Condition,S,Not included - recommended via source,43273237,20,857718025,22
4027880,Disorder of colon,SNOMED,Condition,S,Not included - parent,6103,3,322621719,22
434008,White blood cell disorder,SNOMED,Condition,S,Not included - recommended via source,7114626,20,125940170,22
4201402,Inflammation of large intestine,SNOMED,Condition,S,Not included - parent,200,2,92208890,22
37396146,Gastrointestinal infection,SNOMED,Condition,S,Not included - recommended via source,6250324,13,54761156,22
77025,Diverticulitis of colon,SNOMED,Condition,S,Not included - descendant,22135417,15,22155542,16
193688,Clostridioides difficile infection,SNOMED,Condition,S,Not included - recommended via source,15836272,19,18296986,22
4311117,Radiation-induced disorder,SNOMED,Condition,S,Not included - recommended via source,184567,13,7496156,21
4136809,Necrotic enteritis,SNOMED,Condition,S,Not included - recommended via source,55732,15,690214,20
4323342,Recurrent bacterial infection,SNOMED,Condition,S,Not included - recommended via source,345394,11,672577,19
4342751,Sigmoiditis,SNOMED,Condition,S,Not included - descendant,252,2,667686,19
4187875,Proctosigmoiditis,SNOMED,Condition,S,Not included - descendant,3544,2,652187,18
4322739,Diverticulitis of sigmoid colon,SNOMED,Condition,S,Not included - descendant,14080,4,14847,4
4298577,Diverticulitis of colon with perforation,SNOMED,Condition,S,Not included - descendant,3545,3,3969,3
46269848,Abscess of intestine co-occurrent and due to chronic ulcerative rectosigmoiditis,SNOMED,Condition,S,Not included - descendant,2660,11,2660,11
4326827,Diverticulitis of rectosigmoid,SNOMED,Condition,S,Not included - descendant,1733,2,1733,2
37016198,Epiploic appendagitis,SNOMED,Condition,S,Not included - descendant,1201,1,1201,1
46273469,Perforation of sigmoid colon due to diverticulitis,SNOMED,Condition,S,Not included - descendant,424,1,424,1
4201583,Noninfectious sigmoiditis,SNOMED,Condition,S,Not included - descendant,200,2,400,2
46269899,Abscess of sigmoid colon co-occurrent and due to diverticulitis,SNOMED,Condition,S,Not included - descendant,343,1,343,1
4264020,Inflammatory pseudotumor of colon,SNOMED,Condition,S,Not included - descendant,200,2,200,2
4179201,Perisigmoiditis,SNOMED,Condition,S,Not included - descendant,100,1,100,1
4093449,Allergic sigmoiditis,SNOMED,Condition,S,Not included - descendant,100,1,100,1
4171367,Dietetic sigmoiditis,SNOMED,Condition,S,Not included - descendant,100,1,100,1
4024250,Malakoplakia of colon,SNOMED,Condition,S,Not included - descendant,100,1,100,1
37117749,Parasitic infection of colon caused by Cystoisospora belli,SNOMED,Condition,S,Not included - descendant,100,1,100,1
4004355,Barium granuloma of colon,SNOMED,Condition,S,Not included - descendant,0,0,0,0
4200644,Tuberculosis of colon,SNOMED,Condition,S,Not included - descendant,0,0,0,0
4094237,Endemic colic,SNOMED,Condition,S,Not included - descendant,0,0,0,0
4297887,Disorder of digestive organ,SNOMED,Condition,S,Not included - recommended via source,0,0,0,0
4007450,Foreign body granuloma of colon,SNOMED,Condition,S,Not included - descendant,0,0,0,0
3171798,Diverticulitis of colon with hemorrhage,Nebraska Lexicon,Condition,S,Not included - descendant,0,0,0,0
