conceptId,isExcluded,includeDescendants,includeMapped,conceptName,vocabularyId,standardConcept,invalidReason,conceptCode,conceptClassId,domainId,rc,dbc,drc,ddbc
45614208,FALSE,TRUE,FALSE,"Esophagitis, Peptic",MeSH,N,D,D004942,Main Heading,Condition,0,0,0,0
38001202,FALSE,TRUE,FALSE,"Esophagitis, gastroent & misc digest disorders w/o MCC",DRG,S,V,392,MS-DRG,Observation,0,0,0,0
4342919,FALSE,TRUE,FALSE,Esophagitis,NDFRT,N,V,N0000001165,Ind / CI,Drug,0,0,0,0
4144111,FALSE,TRUE,FALSE,Gastroesophageal reflux disease without esophagitis,SNOMED,S,V,266435005,Clinical Finding,Condition,170623874,19,170623874,19
709847,FALSE,TRUE,FALSE,"Inflammation (eosinophilic esophagitis), ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm rep...",CPT4,S,V,0095U,CPT4,Procedure,0,0,0,0
38000480,FALSE,TRUE,FALSE,"Esophagitis, Gastroenteritis, and Miscellaneous Digestive Disorders Age >17 with Complications, Comorbidities",DRG,N,D,182,DRG,Observation,0,0,0,0
38000482,FALSE,TRUE,FALSE,"Esophagitis, Gastroenteritis, and Miscellaneous Digestive Disorders Age 0-17",DRG,N,D,184,DRG,Observation,0,0,0,0
30753,FALSE,TRUE,FALSE,Esophagitis,SNOMED,S,V,16761005,Clinical Finding,Condition,22893925,22,85851453,22
45526110,FALSE,TRUE,FALSE,PEPTIC OESOPHAGITIS,OXMIS,N,V,5309AC,OXMIS,Condition,0,0,0,0
38001201,FALSE,TRUE,FALSE,"Esophagitis, gastroent & misc digest disorders w MCC",DRG,S,V,391,MS-DRG,Observation,0,0,0,0
38000481,FALSE,TRUE,FALSE,"Esophagitis, Gastroenteritis, and Miscellaneous Digestive Disorders Age >17 without Complications, Comorbidities",DRG,N,D,183,DRG,Observation,0,0,0,0
42484350,FALSE,TRUE,FALSE,Candidal esophagitis,KCD7,N,V,B37.80,KCD7 code,Condition,0,0,0,0
3189976,FALSE,TRUE,FALSE,Risk for pill esophagitis,Nebraska Lexicon,S,V,14910001000004105,Clinical Finding,Condition,0,0,0,0
4345802,FALSE,TRUE,FALSE,Esophageal herpes simplex infection,SNOMED,S,V,240477008,Clinical Finding,Condition,0,0,0,0
46270612,FALSE,TRUE,FALSE,History of esophagitis,SNOMED,S,V,691491000119105,Context-dependent,Observation,0,0,0,0
4266871,FALSE,TRUE,FALSE,"Esophagitis, Peptic",NDFRT,N,V,N0000001166,Ind / CI,Drug,0,0,0,0
4232237,FALSE,TRUE,FALSE,Esophageal bleeding due to ulcerative esophagitis,SNOMED,S,V,439442003,Clinical Finding,Condition,0,0,0,0
2313610,FALSE,TRUE,FALSE,"Esophagus, acid perfusion (Bernstein) test for esophagitis",CPT4,S,V,91030,CPT4,Procedure,0,0,0,0
40235024,FALSE,TRUE,FALSE,Eosinophilic Esophagitis,NDFRT,N,V,N0000182192,Ind / CI,Drug,0,0,0,0
