conceptId,isExcluded,includeDescendants,includeMapped,conceptName,vocabularyId,standardConcept,invalidReason,conceptCode,conceptClassId,domainId,rc,dbc,drc,ddbc
43545957,FALSE,TRUE,FALSE,"camphor, eugenol, menthol .1g/g / .05g/g / .07g/g TOPICAL OINTMENT [total arthritis]",SPL,C,V,a72fd0bd-0a45-625f-e053-2a95a90a42d7,OTC Drug,Drug,0,0,0,0
42652100,FALSE,TRUE,FALSE,"acetaminophen 650mg/1 ORAL TABLET, FILM COATED, EXTENDED RELEASE [premier value arthritis pain reliever]",SPL,C,V,453d1a3e-e19a-4ef5-86c2-c498aaafbdbc,OTC Drug,Drug,0,0,0,0
36664317,FALSE,TRUE,FALSE,trolamin salicylate 10% 10g/100g TOPICAL CREAM [arthritis relief maximum strength],NDC,N,V,508040214,9-digit NDC,Drug,0,0,0,0
44519408,FALSE,TRUE,FALSE,ARTHRITIS PAIN RELIEF CREAM,DPD,N,D,OMOP99505,Brand Name,Drug,0,0,0,0
44378693,FALSE,TRUE,FALSE,"methyl salicylate, menthol, lidocaine hydrochloride 1g/100g / 2.5g/100g / 4.5g/100g TOPICAL CREAM [bakers best arthritis pain relief]",SPL,C,V,480628ca-cfb0-001b-e054-00144ff8d46c,OTC Drug,Drug,0,0,0,0
45302889,FALSE,TRUE,FALSE,Capsaicin .1 g/100g CREAM [CareOne Arthritis Pain Relief],NDC,N,V,041520699,9-digit NDC,Drug,0,0,0,0
44342110,FALSE,TRUE,FALSE,"ARTHRITIS PAIN RELIEF - acetaminophen tablet, film coated, extended release",SPL,C,V,321d2a7e-2e71-494c-b3eb-b802f1e2aadd,OTC Drug,Drug,0,0,0,0
40484577,FALSE,TRUE,FALSE,Assessment of rheumatoid arthritis,SNOMED,S,V,444009006,Procedure,Procedure,0,0,0,0
46243582,FALSE,TRUE,FALSE,"acetaminophen 650mg/1 ORAL TABLET, FILM COATED, EXTENDED RELEASE [care one arthritis pain relief temporary minor]",SPL,C,V,c5ccd2e6-629c-4b6d-92b9-484fb6e1cc36,OTC Drug,Drug,0,0,0,0
45706341,FALSE,TRUE,FALSE,capsaicin .01425g/57g TOPICAL GEL [fast arthritis aid pain relieving],SPL,C,V,a12868b0-0929-46bf-ba12-a2c531c184a0,OTC Drug,Drug,0,0,0,0
46363574,FALSE,TRUE,FALSE,"H-ARTHRITIS FORMULA - apium graveolens, arnica montana oil",NDC,N,V,61077003411,11-digit NDC,Drug,0,0,0,0
42490937,FALSE,TRUE,FALSE,"Severe other specified rheumatoid arthritis, multiple sites",KCD7,N,V,M06.802,KCD7 code,Condition,0,0,0,0
44338991,FALSE,TRUE,FALSE,"DR. HENDEL ARTHRITIS PAIN RELIEF - bryonia alba root, arnica montana, colchicum autumnale bulb, solanum dulcamara top, harpagophytum procumbens root, ledum palustre twig, rhododendron aureum leaf,comfrey root, toxicodendron pubescens leaf, oyster shell ca",SPL,C,V,4dd9cc6b-9962-48b7-b839-7aaeb5d6f497,OTC Drug,Drug,0,0,0,0
44911120,FALSE,TRUE,FALSE,"Acetaminophen 650 mg/1 TABLET, FILM COATED, EXTENDED RELEASE [smart sense arthritis pain relief]",NDC,N,V,049738966,9-digit NDC,Drug,0,0,0,0
