conceptId,isExcluded,includeDescendants,includeMapped,conceptName,vocabularyId,standardConcept,invalidReason,conceptCode,conceptClassId,domainId,rc,dbc,drc,ddbc
4202837,FALSE,TRUE,FALSE,Unilateral paralysis of tongue,SNOMED,S,V,52787007,Clinical Finding,Observation,0,0,0,0
4270644,FALSE,TRUE,FALSE,Cricket paralysis virus,SNOMED,S,V,63268005,Organism,Observation,0,0,0,0
45880559,FALSE,TRUE,FALSE,pseudo paralysis,LOINC,S,V,LA21230-0,Answer,Meas Value,0,0,0,0
2111113,FALSE,TRUE,FALSE,"Repair of blepharoptosis; (tarso) levator resection or advancement, internal approach",CPT4,S,V,67903,CPT4,Procedure,0,0,0,0
40318855,FALSE,TRUE,FALSE,[D]Transient limb paralysis NOS,SNOMED,N,D,158207000,Context-dependent,Observation,0,0,0,0
1032419,FALSE,TRUE,FALSE,Hemiplegia or hemiparesis,LOINC,N,V,LP74920-7,LOINC Component,Observation,0,0,0,0
4243934,FALSE,TRUE,FALSE,Paralysis of tongue,SNOMED,S,V,38228000,Clinical Finding,Condition,0,0,0,0
4347445,FALSE,TRUE,FALSE,Pseudobulbar Palsy,NDFRT,N,V,N0000004207,Ind / CI,Drug,0,0,0,0
1034026,FALSE,TRUE,FALSE,Hemiplegia/hemiparesis in last 7 days,LOINC,N,V,LP90028-9,LOINC Component,Observation,0,0,0,0
381572,FALSE,TRUE,FALSE,Abducens nerve palsy,SNOMED,S,V,398760006,Clinical Finding,Condition,1055572,20,1056302,20
195240,FALSE,TRUE,FALSE,Monoplegia of lower limb,SNOMED,S,V,80420005,Clinical Finding,Condition,407033,20,1125383,20
4346777,FALSE,TRUE,FALSE,Mobius Syndrome,NDFRT,N,V,N0000004114,Ind / CI,Drug,0,0,0,0
43531639,FALSE,TRUE,FALSE,Paralytic syndrome on one side of the body,SNOMED,S,V,609557004,Clinical Finding,Condition,1393,7,68927113,22
45877106,FALSE,TRUE,FALSE,Myasthenia Gravis,LOINC,S,V,LA15158-1,Answer,Meas Value,0,0,0,0
36680604,FALSE,TRUE,FALSE,COL4A1-related familial vascular leukoencephalopathy,SNOMED,S,V,778060000,Clinical Finding,Condition,0,0,0,0
4038582,FALSE,TRUE,FALSE,O/E - no paralysis,SNOMED,S,V,163599009,Context-dependent,Observation,0,0,0,0
4012214,FALSE,TRUE,FALSE,Paralysis present,SNOMED,S,V,162241004,Clinical Finding,Observation,0,0,0,0
2103680,FALSE,TRUE,FALSE,"Scapulopexy (eg, Sprengels deformity or for paralysis)",CPT4,S,V,23400,CPT4,Procedure,0,0,0,0
1007805,FALSE,TRUE,FALSE,"Have you ever had any sudden episode of paralysis or weakness on one side of your body, including your face, arm, or leg which lasted at least 24 hours",LOINC,N,V,LP120720-0,LOINC Component,Observation,0,0,0,0
376901,FALSE,TRUE,FALSE,"Acute paralytic poliomyelitis, bulbar",SNOMED,S,V,64764001,Clinical Finding,Condition,48719,13,58119,13
4248158,FALSE,TRUE,FALSE,Poisoning by triorthocresyl phosphate,SNOMED,S,V,7287001,Clinical Finding,Condition,0,0,0,0
76685,FALSE,TRUE,FALSE,Myasthenia gravis,SNOMED,S,V,91637004,Clinical Finding,Condition,3380320,22,7052766,22
4267495,FALSE,TRUE,FALSE,Ophthalmoplegia,NDFRT,N,V,N0000002223,Ind / CI,Drug,0,0,0,0
4079484,FALSE,TRUE,FALSE,Exercises for paralysis,SNOMED,S,V,183291002,Procedure,Observation,0,0,0,0
2111111,FALSE,TRUE,FALSE,"Repair of blepharoptosis; frontalis muscle technique with suture or other material (eg, banked fascia)",CPT4,S,V,67901,CPT4,Procedure,0,0,0,0
4028042,FALSE,TRUE,FALSE,Taboparesis,SNOMED,S,V,13310005,Clinical Finding,Condition,0,0,0,0
43530612,FALSE,TRUE,FALSE,Paralytic syndrome of all four limbs as sequela of stroke,SNOMED,S,V,103761000119107,Clinical Finding,Condition,0,0,0,0
4230185,FALSE,TRUE,FALSE,Complete unilateral paralysis,SNOMED,S,V,88715005,Clinical Finding,Observation,0,0,0,0
378439,FALSE,TRUE,FALSE,Fourth nerve palsy,SNOMED,S,V,20610004,Clinical Finding,Condition,660564,20,681851,20
4346775,FALSE,TRUE,FALSE,"Myasthenic Syndromes, Congenital",NDFRT,N,V,N0000004099,Ind / CI,Drug,0,0,0,0
