conceptId,conceptName,vocabularyId,domainId,standardConcept,conceptInSet,rc,dc,drc,dbc
374360,Disorder of optic nerve,SNOMED,Condition,S,Not included - parent,723567,19,14489446,21
4169073,Cranial neuritis,SNOMED,Condition,S,Not included - parent,401,2,5021711,21
380995,Neuromyelitis optica,SNOMED,Condition,S,Not included - descendant,646084,20,646084,20
435269,Optic papillitis,SNOMED,Condition,S,Not included - descendant,151229,14,151829,14
379818,Retrobulbar neuritis,SNOMED,Condition,S,Not included - descendant,148086,15,150672,15
36717457,Infection causing inflammation of optic nerve,SNOMED,Condition,S,Not included - descendant,100,1,4397,12
377789,Syphilitic retrobulbar neuritis,SNOMED,Condition,S,Not included - descendant,1448,12,1448,12
45757257,Meningococcal retrobulbar neuritis,SNOMED,Condition,S,Not included - descendant,900,9,900,9
4259501,Neuroretinitis,SNOMED,Condition,S,Not included - descendant,200,2,600,2
4152559,Optic neuroretinitis,SNOMED,Condition,S,Not included - descendant,200,2,200,2
4259502,Bartonella henselae neuroretinitis,SNOMED,Condition,S,Not included - descendant,200,2,200,2
4303516,Paraneoplastic optic neuropathy,SNOMED,Condition,S,Not included - descendant,0,0,0,0
4212083,Toxoplasma neuroretinitis,SNOMED,Condition,S,Not included - descendant,0,0,0,0
37207978,Bilateral optic papillitis,SNOMED,Condition,S,Not included - descendant,0,0,0,0
37204431,IRVAN syndrome,SNOMED,Condition,S,Not included - descendant,0,0,0,0
37206829,Inflammatory disorder of visual pathway,SNOMED,Condition,S,Not included - parent,0,0,0,0
37207920,Optic papillitis of left eye,SNOMED,Condition,S,Not included - descendant,0,0,0,0
37207860,Optic papillitis of right eye,SNOMED,Condition,S,Not included - descendant,0,0,0,0
