conceptId,conceptName,vocabularyId,domainId,standardConcept,conceptInSet,recordCount,databaseCount,descendantRecordCount,descendantDatabaseCount
4178680,Degenerative disorder of musculoskeletal system,SNOMED,Condition,S,Not included - parent,1511,3,1325410060,22
4134294,Acute inflammatory disease,SNOMED,Condition,S,Not included - parent,200,2,1228348342,22
4042503,Disorder of upper extremity,SNOMED,Condition,S,Not included - parent,734,4,1215654853,22
4157453,Disorder of joint of spine,SNOMED,Condition,S,Not included - parent,326647,15,1062175971,22
4134443,Disorder of knee,SNOMED,Condition,S,Not included - recommended via source,1622282,14,583754090,22
4160062,Disorder characterized by pain,SNOMED,Condition,S,Not included - parent,1568,2,578393619,22
4227449,Spondylosis,SNOMED,Condition,S,Not included - descendant,9348487,19,535443400,22
4324765,Arthropathy of knee joint,SNOMED,Condition,S,Not included - parent,92990521,14,533871430,22
4324765,Arthropathy of knee joint,SNOMED,Condition,S,Not included - recommended via source,92990521,14,533871430,22
4176946,Inflammatory disorder of musculoskeletal system,SNOMED,Condition,S,Not included - parent,200,2,522399170,22
4181064,Inflammatory disorder of extremity,SNOMED,Condition,S,Not included - parent,8501,7,490225697,21
444208,Chronic inflammatory disorder,SNOMED,Condition,S,Not included - parent,200,2,450435182,22
195906,Disorder of lumbar spine,SNOMED,Condition,S,Not included - parent,19005872,15,427506307,22
45766714,Inflammatory dermatosis,SNOMED,Condition,S,Not included - parent,41771908,17,400227826,21
133298,Musculoskeletal disorder of the neck,SNOMED,Condition,S,Not included - parent,3283316,14,384817391,22
4182007,Inflamed joint,SNOMED,Condition,S,Not included - parent,485,2,326067251,22
80497,Disorder of cervical spine,SNOMED,Condition,S,Not included - parent,13328611,16,300139022,22
80816,Degeneration of intervertebral disc,SNOMED,Condition,S,Not included - descendant,132492508,20,287454982,21
140214,Eruption,SNOMED,Condition,S,Not included - parent,87939767,21,242293470,22
444206,Arthropathy of pelvis,SNOMED,Condition,S,Not included - parent,9987611,14,240614441,22
444206,Arthropathy of pelvis,SNOMED,Condition,S,Not included - recommended via source,9987611,14,240614441,22
434621,Autoimmune disease,SNOMED,Condition,S,Not included - parent,1405063,15,225039443,22
40482662,Disorder of joint of ankle and/or foot,SNOMED,Condition,S,Not included - recommended via source,11860423,14,220566261,21
40482662,Disorder of joint of ankle and/or foot,SNOMED,Condition,S,Not included - parent,11860423,14,220566261,21
72618,Disorder of skeletal muscle,SNOMED,Condition,S,Not included - parent,3519814,16,216732925,22
4079750,Osteoarthritis of knee,SNOMED,Condition,S,Not included - descendant,175801660,20,204786388,21
4079750,Osteoarthritis of knee,SNOMED,Condition,S,Not included - recommended via source,175801660,20,204786388,21
4079750,Osteoarthritis of knee,SNOMED,Condition,S,Not included - recommended via standard,175801660,20,204786388,21
4143463,Localized osteoarthrosis,SNOMED,Condition,S,Not included - descendant,250811,3,181508257,17
4143463,Localized osteoarthrosis,SNOMED,Condition,S,Not included - recommended via standard,250811,3,181508257,17
379019,Conjunctivitis,SNOMED,Condition,S,Not included - parent,40357562,21,142307775,21
4024558,Disorder associated with menstruation AND/OR menopause,SNOMED,Condition,S,Not included - parent,35218,3,141857533,21
72993,"Localized, primary osteoarthritis",SNOMED,Condition,S,Not included - recommended via standard,62141892,16,135995684,16
72993,"Localized, primary osteoarthritis",SNOMED,Condition,S,Not included - descendant,62141892,16,135995684,16
72993,"Localized, primary osteoarthritis",SNOMED,Condition,S,Not included - recommended via source,62141892,16,135995684,16
40484571,Disorder of joint of shoulder region,SNOMED,Condition,S,Not included - parent,2605209,14,135187909,21
40484571,Disorder of joint of shoulder region,SNOMED,Condition,S,Not included - recommended via source,2605209,14,135187909,21
4028074,Disorder of wrist,SNOMED,Condition,S,Not included - parent,162642,13,134081304,21
443795,Disorder of thoracic spine,SNOMED,Condition,S,Not included - parent,11523873,12,123321075,21
4177851,Disorder of hip joint,SNOMED,Condition,S,Not included - parent,4659067,14,109463715,22
437779,Streptococcal infectious disease,SNOMED,Condition,S,Not included - parent,3369600,19,100788788,21
138519,Spondylosis without myelopathy,SNOMED,Condition,S,Not included - descendant,9998048,14,92355289,14
4048684,Lumbosacral spondylosis,SNOMED,Condition,S,Not included - descendant,1822586,15,86858995,16
80813,Lumbosacral spondylosis without myelopathy,SNOMED,Condition,S,Not included - descendant,82356941,14,82357241,14
75897,Polyarthropathy,SNOMED,Condition,S,Not included - parent,10320802,19,81607506,21
75897,Polyarthropathy,SNOMED,Condition,S,Not included - recommended via source,10320802,19,81607506,21
314131,Degeneration of cervical intervertebral disc,SNOMED,Condition,S,Not included - descendant,77934545,21,80050948,21
440674,Gout,SNOMED,Condition,S,Not included - parent,60668732,20,73804672,21
4181217,Sequelae of disorders classified by disorder-system,SNOMED,Condition,S,Not included - parent,1668,8,70954892,21
443769,Degeneration of lumbar intervertebral disc,SNOMED,Condition,S,Not included - descendant,51617313,15,68460047,15
4328821,Disorder of glenohumeral joint,SNOMED,Condition,S,Not included - parent,3221,3,66483841,21
4114506,Infection - suppurative,SNOMED,Condition,S,Not included - parent,200,2,65777522,21
