conceptId,conceptName,vocabularyId,domainId,standardConcept,conceptInSet,rc,dc,drc,dbc
4040388,Disorder characterized by edema,SNOMED,Condition,S,Not included - parent,238,2,123757395,22
4297831,Serum sickness due to drug,SNOMED,Observation,S,Not included - descendant,472,2,472,2
4224625,Angioedema of eyelids,SNOMED,Condition,S,Not included - descendant,201,2,201,2
4297647,Schnitzler syndrome,SNOMED,Condition,S,Not included - descendant,200,2,200,2
4286491,Cold erythema associated with cold agglutinins,SNOMED,Condition,S,Not included - descendant,200,2,200,2
4297825,Serum sickness type vasculitis,SNOMED,Condition,S,Not included - descendant,100,1,200,2
4081072,Delayed cold sensitivity,SNOMED,Condition,S,Not included - descendant,100,1,100,1
4292367,Cholinergic dermographism,SNOMED,Condition,S,Not included - descendant,100,1,100,1
42538570,Immune complex small vessel vasculitis caused by drug,SNOMED,Condition,S,Not included - descendant,100,1,100,1
4188493,Cold erythema associated with cryoglobulin,SNOMED,Condition,S,Not included - descendant,100,1,100,1
36716915,Idiopathic pure sudomotor failure,SNOMED,Condition,S,Not included - descendant,0,0,0,0
4033331,Delayed dermographism,SNOMED,Condition,S,Not included - descendant,0,0,0,0
4033666,Cold erythema,SNOMED,Condition,S,Not included - descendant,0,0,0,0
4033846,Cholinergic pruritus,SNOMED,Condition,S,Not included - descendant,0,0,0,0
4146745,Cold erythema associated with hemolysins,SNOMED,Condition,S,Not included - descendant,0,0,0,0
