conceptId,conceptName,domainId,vocabularyId,standardConcept,rc,dc,drc,dbc,sourceConceptId,sourceConceptName,sourceVocabularyId,sourceConceptCode,sourceRecordCount,sourceDatabaseCount
440279,Accident,Observation,SNOMED,S,48832232,13,135316632,14,45589848,"Poisoning by antidiarrheal drugs, accidental (unintentional), initial encounter",ICD10CM,T47.6X1A,3078,10
440279,Accident,Observation,SNOMED,S,48832232,13,135316632,14,45541599,"Poisoning by antidiarrheal drugs, accidental (unintentional), subsequent encounter",ICD10CM,T47.6X1D,500,5
75576,Irritable bowel syndrome,Condition,SNOMED,S,41073142,21,47570820,21,35208287,Irritable bowel syndrome without diarrhea,ICD10CM,K58.9,9706398,13
40184727,loperamide hydrochloride 2 MG Oral Capsule,Drug,RxNorm,S,11706009,14,12319112,15,44963207,RA ANTI-DIARRHEAL 2 MG SOFTGEL,NDC,11822489200,4760,6
40184727,loperamide hydrochloride 2 MG Oral Capsule,Drug,RxNorm,S,11706009,14,12319112,15,44916051,CVS ANTI-DIARRHEAL 2 MG SFTGEL,NDC,50428699301,986,8
434842,"Accidental poisoning by drugs, medicines and biologicals",Condition,SNOMED,S,480233,14,3391165,18,45589848,"Poisoning by antidiarrheal drugs, accidental (unintentional), initial encounter",ICD10CM,T47.6X1A,3078,10
434842,"Accidental poisoning by drugs, medicines and biologicals",Condition,SNOMED,S,480233,14,3391165,18,45541599,"Poisoning by antidiarrheal drugs, accidental (unintentional), subsequent encounter",ICD10CM,T47.6X1D,500,5
4196024,Intentional poisoning by drug,Condition,SNOMED,S,697262,12,1389551,13,45599542,"Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter",ICD10CM,T47.6X2A,1440,8
4196024,Intentional poisoning by drug,Condition,SNOMED,S,697262,12,1389551,13,45565652,"Poisoning by antidiarrheal drugs, intentional self-harm, subsequent encounter",ICD10CM,T47.6X2D,700,7
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,44933062,CVS ANTI-DIARRHEAL 2 MG CAPLET,NDC,50428672550,66684,8
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45031550,RA ANTI-DIARRHEAL 2 MG CAPLET,NDC,11822351990,15940,8
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,44861176,RA ANTI DIARRHEAL 2 MG CAPLET,NDC,11822318460,14018,9
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45321499,RA ANTI-DIARRHEAL 2 MG CAPLET,NDC,11822333780,13298,6
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45359182,CVS ANTI-DIARRHEAL 2 MG CAPLET,NDC,50428918981,11369,7
40184730,loperamide hydrochloride 2 MG Oral Tablet,Drug,RxNorm,S,925195,14,1296103,15,45082590,RA ANTI-DIARRHEAL 2 MG CAPLET,NDC,11822331370,7940,6
