conceptId,isExcluded,includeDescendants,includeMapped,conceptName,vocabularyId,standardConcept,invalidReason,conceptCode,conceptClassId,domainId,rc,dbc,drc,ddbc
309,FALSE,TRUE,FALSE,Title V Maternal and Child Health (MSH) Services Block Grant Program,PHDSC,S,V,341,Payer,Payer,0,0,0,0
9219,FALSE,TRUE,FALSE,percent blockade,UCUM,S,V,%{blockade},Unit,Unit,0,0,0,0
197667,FALSE,TRUE,FALSE,Exstrophy of bladder sequence,SNOMED,S,V,61758007,Clinical Finding,Condition,168543,20,184803,20
321588,FALSE,TRUE,FALSE,Heart disease,SNOMED,S,,56265001,Clinical Finding,Condition,0,0,0,0
376105,FALSE,TRUE,FALSE,West syndrome,SNOMED,S,V,28055006,Clinical Finding,Condition,717032,14,717632,14
378245,FALSE,TRUE,FALSE,Congenital ectopic lens,SNOMED,S,V,74969002,Clinical Finding,Condition,9823,15,9923,15
381302,FALSE,TRUE,FALSE,Obstruction of Eustachian tube,SNOMED,S,V,48145001,Clinical Finding,Condition,1094909,19,1197345,19
433263,FALSE,TRUE,FALSE,Complications following abortion and ectopic and molar pregnancies,SNOMED,N,D,198818003,Clinical Finding,Condition,0,0,0,0
433441,FALSE,TRUE,FALSE,Ectopic production of endocrine substance,SNOMED,S,V,8659000,Clinical Finding,Condition,53538,17,54138,17
435725,FALSE,TRUE,FALSE,Poisoning by peripheral nerve AND/OR plexus-blocking anesthetic,SNOMED,S,V,52335006,Clinical Finding,Condition,1902,12,1902,12
437611,FALSE,TRUE,FALSE,Ectopic pregnancy,SNOMED,S,V,34801009,Clinical Finding,Condition,2156269,21,4140341,22
439421,FALSE,TRUE,FALSE,War injury due to explosion of cannon block,SNOMED,S,V,219405000,Clinical Finding,Condition,0,0,0,0
439422,FALSE,TRUE,FALSE,War injury due to explosion of breech block,SNOMED,S,V,219404001,Clinical Finding,Condition,0,0,0,0
439578,FALSE,TRUE,FALSE,Adverse reaction to ganglion blocking drug,SNOMED,S,V,218868004,Clinical Finding,Observation,1266,12,1266,12
